Location,Resort,Pass,Limited or unlimited,Total Lifts,Summit height,Vertical Drop,Base Elevation,Runs in Total,Longest Run,Skiable Terrain,Snow Making,Projected Opening,Projected Closing,Projected Days Open,Days Open Last Year,Years Open,Average Snowfall,Beginners Runs,Intermediate Runs,Advanced Runs,Expert Runs,Night Skiing
british-columbia,Revelstoke,Ikon,limited,6,7300',5620',1680',59,9.5 mi,3121 ac,150 ac,November 27  20212021/11/27,April 17  20222022/04/17,141,135,15,"413""",,,,,
california,Snow Summit,Ikon,unlimited,16,8200',1200',7000',27,1.2 mi,240 ac,240 ac,December 03  20212021/12/03,April 16  20222022/04/16,N.A.,N.A.,70,"100""",19%,48%,26%,7%,150 ac
utah,Snowbasin,Ikon,limited,12,9350',2900',6450',41.8 mi,3.5 mi,3000 ac,24.9 mi,December 10  20212021/12/10,April 10  20222022/04/10,135,143,82,"300""",7%,37%,47%,9%,
utah,Snowbird,Ikon,limited,14,11000',3240',7760',140,2.5 mi,2500 ac,,December 01  20212021/12/01,June 19  20222022/06/19,205,184,51,"500""",8%,25%,43%,24%,
utah,Solitude,Ikon,unlimited,9,10488',2494',7994',82,3 mi,1200 ac,150 ac,November 23  20212021/11/23,April 17  20222022/04/17,142,161,65,"500""",6%,43%,30%,21%,
colorado,Steamboat,Ikon,unlimited,18,10568',3668',6900',169,3 mi,2965 ac,375 ac,November 27  20212021/11/27,April 10  20222022/04/10,149,144,59,"336""",,,,,30 ac
vermont,Stratton,Ikon,unlimited,11,3875',2003',1872',99,3 mi,670 ac,474 ac,November 27  20212021/11/27,April 10  20222022/04/10,142,155,61,"180""",,,,,
vermont,Sugarbush,Ikon,unlimited,16,4083',2600',1483',111,3 mi,581 ac,406 ac,November 24  20212021/11/24,May 01  20222022/05/01,162,150,64,"250""",23%,42%,27%,7%,
maine,Sugarloaf,Ikon,limited,13,4237',2820',1417',162,3.5 mi,1240 ac,618 ac,November 19  20212021/11/19,April 24  20222022/04/24,149,159,71,"200""",22%,32%,26%,20%,
idaho,Sun Valley,Ikon,limited,18,9150',3400',5750',120,3 mi,2054 ac,645 ac,November 25  20212021/11/25,April 17  20222022/04/17,136,149,86,"220""",,,,,
maine,Sunday River,Ikon,limited,18,3140',2340',800',135,3 mi,878 ac,552 ac,November 18  20212021/11/18,April 24  20222022/04/24,155,165,63,"167""",30%,36%,18%,16%,140 ac
alberta,Sunshine Village,Ikon,limited,11,8957',3510',5446',145,5 mi,3358 ac,,November 11  20212021/11/11,May 23  20222022/05/23,194,202,94,"360""",18%,26%,48%,8%,
